dataset,model,precision,original_clean_ap,codec_clean_ap,codec_minus_original
coco,yolo11n,fp32,0.3873194381840302,0.38696779143553606,-0.03516467484941388
coco,yolo11n,int8-entropy,0.36638996170536026,0.3665320370711663,0.014207536580601587
coco,yolo11n,fp8,0.3773785387335642,0.3780963381874539,0.07177994538897225
coco,yolo11m,fp32,0.5068329115879421,0.5057076004000363,-0.11253111879058197
coco,yolo11m,int8-entropy,0.4884592290572222,0.48821302844845793,-0.024620060876429095
coco,yolo11m,fp8,0.5008154643382314,0.5005328479281086,-0.02826164101228379
coco,yolo11x,fp32,0.5380972660890015,0.5369156167174499,-0.11816493715516296
coco,yolo11x,int8-entropy,0.5275351939485402,0.5255690163235607,-0.1966177624979526
coco,yolo11x,fp8,0.535230597788062,0.5346736541543164,-0.0556943633745588
voc,yolo11n,fp32,0.6254329811869671,0.6255666784405308,0.013369725356371376
voc,yolo11n,int8-entropy,0.6142068229279786,0.6151091742678283,0.09023513398497274
voc,yolo11n,fp8,0.6206369326510924,0.621888736504584,0.1251803853491551
voc,yolo11m,fp32,0.6852539890595704,0.6856115420571133,0.035755299754292036
voc,yolo11m,int8-entropy,0.6674828910373021,0.6665887208080649,-0.08941702292372122
voc,yolo11m,fp8,0.6831224902565755,0.6835575000487126,0.04350097921371754
voc,yolo11x,fp32,0.7008654874719498,0.7005430628242637,-0.03224246476860593
voc,yolo11x,int8-entropy,0.6907467789992541,0.6902748108834477,-0.04719681158064093
voc,yolo11x,fp8,0.7000067636556282,0.6994072199041381,-0.059954375149007255
kitti,yolo11n,fp32,0.6478743210920751,0.648360035115041,0.04857140229659329
kitti,yolo11n,int8-entropy,0.6151729276577974,0.6168760538744196,0.1703126216622164
kitti,yolo11n,fp8,0.6367776499385686,0.6382511286481714,0.14734787096027935
kitti,yolo11m,fp32,0.738201064091777,0.7386954908608769,0.049442676909994265
kitti,yolo11m,int8-entropy,0.692180627655688,0.6934168951443126,0.12362674886245983
kitti,yolo11m,fp8,0.7332463200196018,0.7330840580471837,-0.016226197241808737
kitti,yolo11x,fp32,0.729315950885719,0.7305820934553721,0.12661425696530726
kitti,yolo11x,int8-entropy,0.7087406346135233,0.7082145237106435,-0.0526110902879795
kitti,yolo11x,fp8,0.7219684249359843,0.7225778021304365,0.06093771944521986
tt100k,yolo11n,fp32,0.2877520774762751,0.2876178390251219,-0.013423845115323463
tt100k,yolo11n,int8-entropy,0.25097919871773244,0.2528884376265647,0.1909238908832267
tt100k,yolo11n,fp8,0.27115250346685976,0.26406703382376434,-0.7085469643095421
tt100k,yolo11m,fp32,0.5656841271095107,0.5655462197891085,-0.013790732040219744
tt100k,yolo11m,int8-entropy,0.5304758515960379,0.5297389092562125,-0.07369423398254638
tt100k,yolo11m,fp8,0.547541494915845,0.5440375798440837,-0.35039150717612877
tt100k,yolo11x,fp32,0.5762541030965179,0.5765933209876609,0.03392178911429955
tt100k,yolo11x,int8-entropy,0.5549748808469073,0.5601833348733681,0.5208454026460863
tt100k,yolo11x,fp8,0.5676463497153381,0.5609765738139392,-0.6669775901398944
