dataset,model,precision,corruption,severity,ap
kitti,retinanet-r50-fpn-v2,fp32,clean,0,0.5014555737850487
kitti,retinanet-r50-fpn-v2,fp32,fog,1,0.4650059885706355
kitti,retinanet-r50-fpn-v2,fp32,fog,3,0.4122694740912605
kitti,retinanet-r50-fpn-v2,fp32,fog,5,0.37933613938954047
kitti,retinanet-r50-fpn-v2,fp32,gaussian_noise,1,0.4790017656844601
kitti,retinanet-r50-fpn-v2,fp32,gaussian_noise,3,0.3831633327737015
kitti,retinanet-r50-fpn-v2,fp32,gaussian_noise,5,0.2220003357340848
kitti,retinanet-r50-fpn-v2,fp32,jpeg,1,0.503298709077141
kitti,retinanet-r50-fpn-v2,fp32,jpeg,3,0.5024627768689558
kitti,retinanet-r50-fpn-v2,fp32,jpeg,5,0.4777245401723693
kitti,retinanet-r50-fpn-v2,fp32,motion_blur,1,0.46352047767352267
kitti,retinanet-r50-fpn-v2,fp32,motion_blur,3,0.19416037448899387
kitti,retinanet-r50-fpn-v2,fp32,motion_blur,5,0.054546057459005856
kitti,retinanet-r50-fpn-v2,fp8,clean,0,0.4918539931338007
kitti,retinanet-r50-fpn-v2,fp8,fog,1,0.453240422837502
kitti,retinanet-r50-fpn-v2,fp8,fog,3,0.3981329655248712
kitti,retinanet-r50-fpn-v2,fp8,fog,5,0.3640562472649006
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,1,0.46236183145431753
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,3,0.3658270356289236
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,5,0.21105155831939013
kitti,retinanet-r50-fpn-v2,fp8,jpeg,1,0.4884242717209687
kitti,retinanet-r50-fpn-v2,fp8,jpeg,3,0.4868300188773743
kitti,retinanet-r50-fpn-v2,fp8,jpeg,5,0.46145388455072023
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.446113885256084
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.18584828371058446
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.05414411300745227
kitti,retinanet-r50-fpn-v2,int8-entropy,clean,0,0.072143010942568
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.10447362032155344
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.15010068583147143
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.15521203818625526
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.06974399048850069
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.061584585710655164
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.041908840009373546
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.07116631391676205
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.07059681917760728
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.06648096913858594
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.06388502175547332
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.02648765669394343
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.010154424194075926
kitti,rtdetr-l,fp32,clean,0,0.12283774330854579
kitti,rtdetr-l,fp32,fog,1,0.10389057512842564
kitti,rtdetr-l,fp32,fog,3,0.08187103996304106
kitti,rtdetr-l,fp32,fog,5,0.06246187693092224
kitti,rtdetr-l,fp32,gaussian_noise,1,0.08763138637271697
kitti,rtdetr-l,fp32,gaussian_noise,3,0.03874519683799524
kitti,rtdetr-l,fp32,gaussian_noise,5,0.00864926429916554
kitti,rtdetr-l,fp32,jpeg,1,0.11794727842320543
kitti,rtdetr-l,fp32,jpeg,3,0.11440994898959762
kitti,rtdetr-l,fp32,jpeg,5,0.10404342761825727
kitti,rtdetr-l,fp32,motion_blur,1,0.1029590713179074
kitti,rtdetr-l,fp32,motion_blur,3,0.027331984511582155
kitti,rtdetr-l,fp32,motion_blur,5,0.009189847173983412
kitti,rtdetr-l,fp8,clean,0,0.12023539435861304
kitti,rtdetr-l,fp8,fog,1,0.10146521265863545
kitti,rtdetr-l,fp8,fog,3,0.0789252746515653
kitti,rtdetr-l,fp8,fog,5,0.060157412276161344
kitti,rtdetr-l,fp8,gaussian_noise,1,0.08481713683883398
kitti,rtdetr-l,fp8,gaussian_noise,3,0.03575322708040615
kitti,rtdetr-l,fp8,gaussian_noise,5,0.005494134802333573
kitti,rtdetr-l,fp8,jpeg,1,0.11566963929359864
kitti,rtdetr-l,fp8,jpeg,3,0.11428526132581995
kitti,rtdetr-l,fp8,jpeg,5,0.10094363946489844
kitti,rtdetr-l,fp8,motion_blur,1,0.10066438445678305
kitti,rtdetr-l,fp8,motion_blur,3,0.024324918573862365
kitti,rtdetr-l,fp8,motion_blur,5,0.008280306726406148
kitti,rtdetr-l,int8-entropy,clean,0,0.032759759106290046
kitti,rtdetr-l,int8-entropy,fog,1,0.03136875111945418
kitti,rtdetr-l,int8-entropy,fog,3,0.02693388413382401
kitti,rtdetr-l,int8-entropy,fog,5,0.022640601728270857
kitti,rtdetr-l,int8-entropy,gaussian_noise,1,0.026638402720405446
kitti,rtdetr-l,int8-entropy,gaussian_noise,3,0.013538282027604988
kitti,rtdetr-l,int8-entropy,gaussian_noise,5,0.004006458592666423
kitti,rtdetr-l,int8-entropy,jpeg,1,0.03297732655066981
kitti,rtdetr-l,int8-entropy,jpeg,3,0.031397739864365774
kitti,rtdetr-l,int8-entropy,jpeg,5,0.027652164441063862
kitti,rtdetr-l,int8-entropy,motion_blur,1,0.02782182122845244
kitti,rtdetr-l,int8-entropy,motion_blur,3,0.0071945653800159545
kitti,rtdetr-l,int8-entropy,motion_blur,5,0.003838340260134896
tt100k,retinanet-r50-fpn-v2,fp32,clean,0,0.03377256481344029
tt100k,retinanet-r50-fpn-v2,fp32,fog,1,0.03353777221526888
tt100k,retinanet-r50-fpn-v2,fp32,fog,3,0.03258404390332171
tt100k,retinanet-r50-fpn-v2,fp32,fog,5,0.0319213618476004
tt100k,retinanet-r50-fpn-v2,fp32,gaussian_noise,1,0.03333736379464073
tt100k,retinanet-r50-fpn-v2,fp32,gaussian_noise,3,0.029827449876660046
tt100k,retinanet-r50-fpn-v2,fp32,gaussian_noise,5,0.02070492782395842
tt100k,retinanet-r50-fpn-v2,fp32,jpeg,1,0.03384020838491038
tt100k,retinanet-r50-fpn-v2,fp32,jpeg,3,0.034015121732852725
tt100k,retinanet-r50-fpn-v2,fp32,jpeg,5,0.0328320096892739
tt100k,retinanet-r50-fpn-v2,fp32,motion_blur,1,0.031298458824462354
tt100k,retinanet-r50-fpn-v2,fp32,motion_blur,3,0.01990006360699671
tt100k,retinanet-r50-fpn-v2,fp32,motion_blur,5,0.008726583161156092
tt100k,retinanet-r50-fpn-v2,fp8,clean,0,0.03422696154097909
tt100k,retinanet-r50-fpn-v2,fp8,fog,1,0.03270318718375825
tt100k,retinanet-r50-fpn-v2,fp8,fog,3,0.032419564235398414
tt100k,retinanet-r50-fpn-v2,fp8,fog,5,0.0312960737632745
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,1,0.03254355779095648
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,3,0.030076598714712202
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,5,0.020510169165090908
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,1,0.033814262635313994
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,3,0.033502200099607235
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,5,0.03224792207421276
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.030843308241619773
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.020055916856576872
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.008608366936901238
tt100k,retinanet-r50-fpn-v2,int8-entropy,clean,0,0.02628073253395216
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.028225188973806034
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.028707623141303998
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.027718462756914062
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.025474612385692163
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.02279103657223966
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.01511257271491727
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.027218525055591882
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.026961639458374504
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.025616066428279596
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.024464351094414884
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.01476826944176864
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.005336738659965583
tt100k,rtdetr-l,fp32,clean,0,0.43201849073812226
tt100k,rtdetr-l,fp32,fog,1,0.430066952947215
tt100k,rtdetr-l,fp32,fog,3,0.4335497120666738
tt100k,rtdetr-l,fp32,fog,5,0.43053167751183175
tt100k,rtdetr-l,fp32,gaussian_noise,1,0.42868749339971307
tt100k,rtdetr-l,fp32,gaussian_noise,3,0.39463403130844005
tt100k,rtdetr-l,fp32,gaussian_noise,5,0.26167153372014884
tt100k,rtdetr-l,fp32,jpeg,1,0.43076309485686837
tt100k,rtdetr-l,fp32,jpeg,3,0.424606682338849
tt100k,rtdetr-l,fp32,jpeg,5,0.40835990321601745
tt100k,rtdetr-l,fp32,motion_blur,1,0.40067492564913576
tt100k,rtdetr-l,fp32,motion_blur,3,0.17939257794645444
tt100k,rtdetr-l,fp32,motion_blur,5,0.06846185121432526
tt100k,rtdetr-l,fp8,clean,0,0.42368607372438055
tt100k,rtdetr-l,fp8,fog,1,0.4297423077503119
tt100k,rtdetr-l,fp8,fog,3,0.4175963579761519
tt100k,rtdetr-l,fp8,fog,5,0.41173652397891825
tt100k,rtdetr-l,fp8,gaussian_noise,1,0.42233310404019014
tt100k,rtdetr-l,fp8,gaussian_noise,3,0.36415037788486704
tt100k,rtdetr-l,fp8,gaussian_noise,5,0.24733209003150008
tt100k,rtdetr-l,fp8,jpeg,1,0.4224001684387491
tt100k,rtdetr-l,fp8,jpeg,3,0.42481151294831354
tt100k,rtdetr-l,fp8,jpeg,5,0.3946191934175023
tt100k,rtdetr-l,fp8,motion_blur,1,0.39176787602532664
tt100k,rtdetr-l,fp8,motion_blur,3,0.17478047182870451
tt100k,rtdetr-l,fp8,motion_blur,5,0.06377023981434746
tt100k,rtdetr-l,int8-entropy,clean,0,0.05650044039364877
tt100k,rtdetr-l,int8-entropy,fog,1,0.05037331687522488
tt100k,rtdetr-l,int8-entropy,fog,3,0.04684262051478636
tt100k,rtdetr-l,int8-entropy,fog,5,0.04128902090728647
tt100k,rtdetr-l,int8-entropy,gaussian_noise,1,0.04060684588947083
tt100k,rtdetr-l,int8-entropy,gaussian_noise,3,0.020513416411269903
