dataset,model,corruption,severity,e_fp8,e_int8,delta_e
kitti,retinanet-r50-fpn-v2,fog,1,0.0002268476,-0.0724495324,-0.0726763800
kitti,retinanet-r50-fpn-v2,fog,3,0.0025977905,-0.1708131124,-0.1734109028
kitti,retinanet-r50-fpn-v2,fog,5,0.0037411740,-0.2088577994,-0.2125989734
kitti,retinanet-r50-fpn-v2,gaussian_noise,1,0.0051012161,-0.0237241254,-0.0288253415
kitti,retinanet-r50-fpn-v2,gaussian_noise,3,0.0057975790,-0.1114031536,-0.1172007326
kitti,retinanet-r50-fpn-v2,gaussian_noise,5,-0.0005899407,-0.2528904049,-0.2523004642
kitti,retinanet-r50-fpn-v2,jpeg,1,0.0033357192,-0.0008495055,-0.0041852247
kitti,retinanet-r50-fpn-v2,jpeg,3,0.0040940399,-0.0011159429,-0.0052099828
kitti,retinanet-r50-fpn-v2,jpeg,5,0.0047319375,-0.0217383296,-0.0264702671
kitti,retinanet-r50-fpn-v2,motion_blur,1,0.0058678743,-0.0333464447,-0.0392143190
kitti,retinanet-r50-fpn-v2,motion_blur,3,-0.0032266273,-0.2653091828,-0.2620825555
kitti,retinanet-r50-fpn-v2,motion_blur,5,-0.0111367737,-0.3885902673,-0.3774534937
tt100k,retinanet-r50-fpn-v2,fog,1,0.0009553557,-0.0023648321,-0.0033201877
tt100k,retinanet-r50-fpn-v2,fog,3,0.0002852503,-0.0038009945,-0.0040862448
tt100k,retinanet-r50-fpn-v2,fog,5,0.0007460587,-0.0034745162,-0.0042205749
tt100k,retinanet-r50-fpn-v2,gaussian_noise,1,0.0009145766,0.0001853361,-0.0007292405
tt100k,retinanet-r50-fpn-v2,gaussian_noise,3,-0.0001283782,-0.0006410020,-0.0005126238
tt100k,retinanet-r50-fpn-v2,gaussian_noise,5,0.0003155293,-0.0020850602,-0.0024005895
tt100k,retinanet-r50-fpn-v2,jpeg,1,0.0001467164,-0.0010557320,-0.0012024483
tt100k,retinanet-r50-fpn-v2,jpeg,3,0.0006336923,-0.0006239330,-0.0012576253
tt100k,retinanet-r50-fpn-v2,jpeg,5,0.0007048582,-0.0004614720,-0.0011663303
tt100k,retinanet-r50-fpn-v2,motion_blur,1,0.0005759212,-0.0008433076,-0.0014192288
tt100k,retinanet-r50-fpn-v2,motion_blur,3,-0.0000350826,-0.0025456211,-0.0025105385
tt100k,retinanet-r50-fpn-v2,motion_blur,5,0.0002389868,-0.0042875708,-0.0045265576
voc,retinanet-r50-fpn-v2,fog,1,0.0009240417,-0.0454361639,-0.0463602056
voc,retinanet-r50-fpn-v2,fog,3,-0.0004088628,-0.0855768864,-0.0851680236
voc,retinanet-r50-fpn-v2,fog,5,0.0064171197,-0.0894032554,-0.0958203751
voc,retinanet-r50-fpn-v2,gaussian_noise,1,-0.0006598945,0.0014420385,0.0021019330
voc,retinanet-r50-fpn-v2,gaussian_noise,3,-0.0013744387,-0.0106578054,-0.0092833667
voc,retinanet-r50-fpn-v2,gaussian_noise,5,-0.0067508911,-0.1093813153,-0.1026304242
voc,retinanet-r50-fpn-v2,jpeg,1,0.0015966334,0.0078541337,0.0062575003
voc,retinanet-r50-fpn-v2,jpeg,3,-0.0001863504,0.0114472667,0.0116336171
voc,retinanet-r50-fpn-v2,jpeg,5,-0.0054898414,-0.0028594596,0.0026303818
voc,retinanet-r50-fpn-v2,motion_blur,1,-0.0008305375,-0.0211367407,-0.0203062032
voc,retinanet-r50-fpn-v2,motion_blur,3,-0.0072084293,-0.1245953424,-0.1173869131
voc,retinanet-r50-fpn-v2,motion_blur,5,-0.0074660288,-0.1959528790,-0.1884868502
kitti,rtdetr-l,fog,1,-0.0003160644,-0.0172057491,-0.0168896847
kitti,rtdetr-l,fog,3,0.0002043384,-0.0347904173,-0.0349947558
kitti,rtdetr-l,fog,5,-0.0004369622,-0.0499062980,-0.0494693357
kitti,rtdetr-l,gaussian_noise,1,0.0000728227,-0.0287345895,-0.0288074122
kitti,rtdetr-l,gaussian_noise,3,0.0002505429,-0.0645206583,-0.0647712012
kitti,rtdetr-l,gaussian_noise,5,0.0004137026,-0.0850847675,-0.0854984701
kitti,rtdetr-l,jpeg,1,-0.0004637877,-0.0047576213,-0.0042938335
kitti,rtdetr-l,jpeg,3,-0.0026167392,-0.0067153640,-0.0040986248
kitti,rtdetr-l,jpeg,5,0.0003583613,-0.0133363100,-0.0136946713
kitti,rtdetr-l,motion_blur,1,-0.0004467400,-0.0145903231,-0.0141435831
kitti,rtdetr-l,motion_blur,3,0.0002656391,-0.0695901540,-0.0698557931
kitti,rtdetr-l,motion_blur,5,-0.0018318864,-0.0843760662,-0.0825441798
tt100k,rtdetr-l,fog,1,-0.0100924684,0.0026216927,0.0127141611
tt100k,rtdetr-l,fog,3,0.0055362405,0.0096351482,0.0040989077
tt100k,rtdetr-l,fog,5,0.0083780399,0.0121707132,0.0037926733
tt100k,rtdetr-l,gaussian_noise,1,-0.0040627242,0.0110087041,0.0150714284
tt100k,rtdetr-l,gaussian_noise,3,0.0200665398,-0.0029513285,-0.0230178683
tt100k,rtdetr-l,gaussian_noise,5,0.0039223301,-0.1302326549,-0.1341549850
tt100k,rtdetr-l,jpeg,1,-0.0020541872,0.0035803244,0.0056345116
tt100k,rtdetr-l,jpeg,3,-0.0106219442,-0.0004316626,0.0101902816
tt100k,rtdetr-l,jpeg,5,0.0033235962,-0.0031421075,-0.0064657037
tt100k,rtdetr-l,motion_blur,1,-0.0015100640,-0.0056231630,-0.0041130990
tt100k,rtdetr-l,motion_blur,3,-0.0058050075,-0.2023762180,-0.1965712106
tt100k,rtdetr-l,motion_blur,5,-0.0057255022,-0.3088415940,-0.3031160918
voc,rtdetr-l,fog,1,0.0022228681,-0.0031355916,-0.0053584597
voc,rtdetr-l,fog,3,0.0017654076,-0.0078793588,-0.0096447664
voc,rtdetr-l,fog,5,0.0018526933,-0.0105184026,-0.0123710959
voc,rtdetr-l,gaussian_noise,1,0.0002543607,-0.0129376170,-0.0131919778
voc,rtdetr-l,gaussian_noise,3,-0.0010864840,-0.0701942683,-0.0691077843
voc,rtdetr-l,gaussian_noise,5,-0.0081179562,-0.2260143580,-0.2178964018
voc,rtdetr-l,jpeg,1,0.0003435933,-0.0045786872,-0.0049222805
voc,rtdetr-l,jpeg,3,0.0008534142,-0.0161527450,-0.0170061591
voc,rtdetr-l,jpeg,5,0.0031096231,-0.1075138007,-0.1106234238
voc,rtdetr-l,motion_blur,1,-0.0033365279,-0.0507771119,-0.0474405840
voc,rtdetr-l,motion_blur,3,-0.0005400033,-0.3104079403,-0.3098679369
voc,rtdetr-l,motion_blur,5,-0.0005761853,-0.5438672091,-0.5432910239
