dataset,model,precision,corruption,severity,ap_fp32_clean,ap_q_clean,ap_fp32_corrupt,ap_q_corrupt,q95,qc,e
kitti,retinanet-r50-fpn-v2,fp8,fog,1,0.5042670858,0.4927283677,0.4650059886,0.4532404228,0.0115387181,0.0117655657,0.0002268476
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.5042670858,0.0712851852,0.4650059886,0.1044736203,0.4329819006,0.3605323682,-0.0724495324
kitti,retinanet-r50-fpn-v2,fp8,fog,3,0.5042670858,0.4927283677,0.4122694741,0.3981329655,0.0115387181,0.0141365086,0.0025977905
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.5042670858,0.0712851852,0.4122694741,0.1501006858,0.4329819006,0.2621687883,-0.1708131124
kitti,retinanet-r50-fpn-v2,fp8,fog,5,0.5042670858,0.4927283677,0.3793361394,0.3640562473,0.0115387181,0.0152798921,0.0037411740
kitti,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.5042670858,0.0712851852,0.3793361394,0.1552120382,0.4329819006,0.2241241012,-0.2088577994
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,1,0.5042670858,0.4927283677,0.4790017657,0.4623618315,0.0115387181,0.0166399342,0.0051012161
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.5042670858,0.0712851852,0.4790017657,0.0697439905,0.4329819006,0.4092577752,-0.0237241254
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,3,0.5042670858,0.4927283677,0.3831633328,0.3658270356,0.0115387181,0.0173362971,0.0057975790
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.5042670858,0.0712851852,0.3831633328,0.0615845857,0.4329819006,0.3215787471,-0.1114031536
kitti,retinanet-r50-fpn-v2,fp8,gaussian_noise,5,0.5042670858,0.4927283677,0.2220003357,0.2110515583,0.0115387181,0.0109487774,-0.0005899407
kitti,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.5042670858,0.0712851852,0.2220003357,0.0419088400,0.4329819006,0.1800914957,-0.2528904049
kitti,retinanet-r50-fpn-v2,fp8,jpeg,1,0.5042670858,0.4927283677,0.5032987091,0.4884242717,0.0115387181,0.0148744374,0.0033357192
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.5042670858,0.0712851852,0.5032987091,0.0711663139,0.4329819006,0.4321323952,-0.0008495055
kitti,retinanet-r50-fpn-v2,fp8,jpeg,3,0.5042670858,0.4927283677,0.5024627769,0.4868300189,0.0115387181,0.0156327580,0.0040940399
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.5042670858,0.0712851852,0.5024627769,0.0705968192,0.4329819006,0.4318659577,-0.0011159429
kitti,retinanet-r50-fpn-v2,fp8,jpeg,5,0.5042670858,0.4927283677,0.4777245402,0.4614538846,0.0115387181,0.0162706556,0.0047319375
kitti,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.5042670858,0.0712851852,0.4777245402,0.0664809691,0.4329819006,0.4112435710,-0.0217383296
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.5042670858,0.4927283677,0.4635204777,0.4461138853,0.0115387181,0.0174065924,0.0058678743
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.5042670858,0.0712851852,0.4635204777,0.0638850218,0.4329819006,0.3996354559,-0.0333464447
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.5042670858,0.4927283677,0.1941603745,0.1858482837,0.0115387181,0.0083120908,-0.0032266273
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.5042670858,0.0712851852,0.1941603745,0.0264876567,0.4329819006,0.1676727178,-0.2653091828
kitti,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.5042670858,0.4927283677,0.0545460575,0.0541441130,0.0115387181,0.0004019445,-0.0111367737
kitti,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.5042670858,0.0712851852,0.0545460575,0.0101544242,0.4329819006,0.0443916333,-0.3885902673
tt100k,retinanet-r50-fpn-v2,fp8,fog,1,0.0336775364,0.0337983070,0.0335377722,0.0327031872,-0.0001207706,0.0008345850,0.0009553557
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.0336775364,0.0260001211,0.0335377722,0.0282251890,0.0076774153,0.0053125832,-0.0023648321
tt100k,retinanet-r50-fpn-v2,fp8,fog,3,0.0336775364,0.0337983070,0.0325840439,0.0324195642,-0.0001207706,0.0001644797,0.0002852503
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.0336775364,0.0260001211,0.0325840439,0.0287076231,0.0076774153,0.0038764208,-0.0038009945
tt100k,retinanet-r50-fpn-v2,fp8,fog,5,0.0336775364,0.0337983070,0.0319213618,0.0312960738,-0.0001207706,0.0006252881,0.0007460587
tt100k,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.0336775364,0.0260001211,0.0319213618,0.0277184628,0.0076774153,0.0042028991,-0.0034745162
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,1,0.0336775364,0.0337983070,0.0333373638,0.0325435578,-0.0001207706,0.0007938060,0.0009145766
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.0336775364,0.0260001211,0.0333373638,0.0254746124,0.0076774153,0.0078627514,0.0001853361
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,3,0.0336775364,0.0337983070,0.0298274499,0.0300765987,-0.0001207706,-0.0002491488,-0.0001283782
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.0336775364,0.0260001211,0.0298274499,0.0227910366,0.0076774153,0.0070364133,-0.0006410020
tt100k,retinanet-r50-fpn-v2,fp8,gaussian_noise,5,0.0336775364,0.0337983070,0.0207049278,0.0205101692,-0.0001207706,0.0001947587,0.0003155293
tt100k,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.0336775364,0.0260001211,0.0207049278,0.0151125727,0.0076774153,0.0055923551,-0.0020850602
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,1,0.0336775364,0.0337983070,0.0338402084,0.0338142626,-0.0001207706,0.0000259457,0.0001467164
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.0336775364,0.0260001211,0.0338402084,0.0272185251,0.0076774153,0.0066216833,-0.0010557320
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,3,0.0336775364,0.0337983070,0.0340151217,0.0335022001,-0.0001207706,0.0005129216,0.0006336923
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.0336775364,0.0260001211,0.0340151217,0.0269616395,0.0076774153,0.0070534823,-0.0006239330
tt100k,retinanet-r50-fpn-v2,fp8,jpeg,5,0.0336775364,0.0337983070,0.0328320097,0.0322479221,-0.0001207706,0.0005840876,0.0007048582
tt100k,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.0336775364,0.0260001211,0.0328320097,0.0256160664,0.0076774153,0.0072159433,-0.0004614720
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.0336775364,0.0337983070,0.0312984588,0.0308433082,-0.0001207706,0.0004551506,0.0005759212
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.0336775364,0.0260001211,0.0312984588,0.0244643511,0.0076774153,0.0068341077,-0.0008433076
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.0336775364,0.0337983070,0.0199000636,0.0200559169,-0.0001207706,-0.0001558532,-0.0000350826
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.0336775364,0.0260001211,0.0199000636,0.0147682694,0.0076774153,0.0051317942,-0.0025456211
tt100k,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.0336775364,0.0337983070,0.0087265832,0.0086083669,-0.0001207706,0.0001182162,0.0002389868
tt100k,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.0336775364,0.0260001211,0.0087265832,0.0053367387,0.0076774153,0.0033898445,-0.0042875708
voc,retinanet-r50-fpn-v2,fp8,fog,1,0.5721848527,0.5616740731,0.5655388073,0.5541039860,0.0105107796,0.0114348213,0.0009240417
voc,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.5721848527,0.3368978364,0.5655388073,0.3756879548,0.2352870164,0.1898508525,-0.0454361639
voc,retinanet-r50-fpn-v2,fp8,fog,3,0.5721848527,0.5616740731,0.5553427688,0.5452408520,0.0105107796,0.0101019168,-0.0004088628
voc,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.5721848527,0.3368978364,0.5553427688,0.4056326388,0.2352870164,0.1497101300,-0.0855768864
voc,retinanet-r50-fpn-v2,fp8,fog,5,0.5721848527,0.5616740731,0.5473303640,0.5304024646,0.0105107796,0.0169278993,0.0064171197
voc,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.5721848527,0.3368978364,0.5473303640,0.4014466030,0.2352870164,0.1458837610,-0.0894032554
voc,retinanet-r50-fpn-v2,fp8,gaussian_noise,1,0.5721848527,0.5616740731,0.5402481851,0.5303973000,0.0105107796,0.0098508851,-0.0006598945
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.5721848527,0.3368978364,0.5402481851,0.3035191302,0.2352870164,0.2367290549,0.0014420385
voc,retinanet-r50-fpn-v2,fp8,gaussian_noise,3,0.5721848527,0.5616740731,0.4469644267,0.4378280858,0.0105107796,0.0091363409,-0.0013744387
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.5721848527,0.3368978364,0.4469644267,0.2223352157,0.2352870164,0.2246292110,-0.0106578054
voc,retinanet-r50-fpn-v2,fp8,gaussian_noise,5,0.5721848527,0.5616740731,0.2243425710,0.2205826825,0.0105107796,0.0037598885,-0.0067508911
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.5721848527,0.3368978364,0.2243425710,0.0984368699,0.2352870164,0.1259057011,-0.1093813153
voc,retinanet-r50-fpn-v2,fp8,jpeg,1,0.5721848527,0.5616740731,0.5566056753,0.5444982624,0.0105107796,0.0121074130,0.0015966334
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.5721848527,0.3368978364,0.5566056753,0.3134645253,0.2352870164,0.2431411500,0.0078541337
voc,retinanet-r50-fpn-v2,fp8,jpeg,3,0.5721848527,0.5616740731,0.5348901565,0.5245657273,0.0105107796,0.0103244291,-0.0001863504
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.5721848527,0.3368978364,0.5348901565,0.2881558734,0.2352870164,0.2467342831,0.0114472667
voc,retinanet-r50-fpn-v2,fp8,jpeg,5,0.5721848527,0.5616740731,0.4387511482,0.4337302100,0.0105107796,0.0050209382,-0.0054898414
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.5721848527,0.3368978364,0.4387511482,0.2063235914,0.2352870164,0.2324275568,-0.0028594596
voc,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.5721848527,0.5616740731,0.4436426866,0.4339624446,0.0105107796,0.0096802421,-0.0008305375
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.5721848527,0.3368978364,0.4436426866,0.2294924110,0.2352870164,0.2141502756,-0.0211367407
voc,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.5721848527,0.5616740731,0.1671701897,0.1638678394,0.0105107796,0.0033023503,-0.0072084293
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.5721848527,0.3368978364,0.1671701897,0.0564785157,0.2352870164,0.1106916739,-0.1245953424
voc,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.5721848527,0.5616740731,0.0571041524,0.0540594016,0.0105107796,0.0030447508,-0.0074660288
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.5721848527,0.3368978364,0.0571041524,0.0177700150,0.2352870164,0.0393341374,-0.1959528790
kitti,rtdetr-l,fp8,fog,1,0.1229465219,0.1202050950,0.1038905751,0.1014652127,0.0027414269,0.0024253625,-0.0003160644
kitti,rtdetr-l,int8-entropy,fog,1,0.1229465219,0.0332189487,0.1038905751,0.0313687511,0.0897275732,0.0725218240,-0.0172057491
kitti,rtdetr-l,fp8,fog,3,0.1229465219,0.1202050950,0.0818710400,0.0789252747,0.0027414269,0.0029457653,0.0002043384
kitti,rtdetr-l,int8-entropy,fog,3,0.1229465219,0.0332189487,0.0818710400,0.0269338841,0.0897275732,0.0549371558,-0.0347904173
kitti,rtdetr-l,fp8,fog,5,0.1229465219,0.1202050950,0.0624618769,0.0601574123,0.0027414269,0.0023044647,-0.0004369622
kitti,rtdetr-l,int8-entropy,fog,5,0.1229465219,0.0332189487,0.0624618769,0.0226406017,0.0897275732,0.0398212752,-0.0499062980
kitti,rtdetr-l,fp8,gaussian_noise,1,0.1229465219,0.1202050950,0.0876313864,0.0848171368,0.0027414269,0.0028142495,0.0000728227
kitti,rtdetr-l,int8-entropy,gaussian_noise,1,0.1229465219,0.0332189487,0.0876313864,0.0266384027,0.0897275732,0.0609929837,-0.0287345895
kitti,rtdetr-l,fp8,gaussian_noise,3,0.1229465219,0.1202050950,0.0387451968,0.0357532271,0.0027414269,0.0029919698,0.0002505429
kitti,rtdetr-l,int8-entropy,gaussian_noise,3,0.1229465219,0.0332189487,0.0387451968,0.0135382820,0.0897275732,0.0252069148,-0.0645206583
kitti,rtdetr-l,fp8,gaussian_noise,5,0.1229465219,0.1202050950,0.0086492643,0.0054941348,0.0027414269,0.0031551295,0.0004137026
kitti,rtdetr-l,int8-entropy,gaussian_noise,5,0.1229465219,0.0332189487,0.0086492643,0.0040064586,0.0897275732,0.0046428057,-0.0850847675
kitti,rtdetr-l,fp8,jpeg,1,0.1229465219,0.1202050950,0.1179472784,0.1156696393,0.0027414269,0.0022776391,-0.0004637877
kitti,rtdetr-l,int8-entropy,jpeg,1,0.1229465219,0.0332189487,0.1179472784,0.0329773266,0.0897275732,0.0849699519,-0.0047576213
kitti,rtdetr-l,fp8,jpeg,3,0.1229465219,0.1202050950,0.1144099490,0.1142852613,0.0027414269,0.0001246877,-0.0026167392
kitti,rtdetr-l,int8-entropy,jpeg,3,0.1229465219,0.0332189487,0.1144099490,0.0313977399,0.0897275732,0.0830122091,-0.0067153640
kitti,rtdetr-l,fp8,jpeg,5,0.1229465219,0.1202050950,0.1040434276,0.1009436395,0.0027414269,0.0030997882,0.0003583613
kitti,rtdetr-l,int8-entropy,jpeg,5,0.1229465219,0.0332189487,0.1040434276,0.0276521644,0.0897275732,0.0763912632,-0.0133363100
kitti,rtdetr-l,fp8,motion_blur,1,0.1229465219,0.1202050950,0.1029590713,0.1006643845,0.0027414269,0.0022946869,-0.0004467400
kitti,rtdetr-l,int8-entropy,motion_blur,1,0.1229465219,0.0332189487,0.1029590713,0.0278218212,0.0897275732,0.0751372501,-0.0145903231
kitti,rtdetr-l,fp8,motion_blur,3,0.1229465219,0.1202050950,0.0273319845,0.0243249186,0.0027414269,0.0030070659,0.0002656391
kitti,rtdetr-l,int8-entropy,motion_blur,3,0.1229465219,0.0332189487,0.0273319845,0.0071945654,0.0897275732,0.0201374191,-0.0695901540
kitti,rtdetr-l,fp8,motion_blur,5,0.1229465219,0.1202050950,0.0091898472,0.0082803067,0.0027414269,0.0009095404,-0.0018318864
kitti,rtdetr-l,int8-entropy,motion_blur,5,0.1229465219,0.0332189487,0.0091898472,0.0038383403,0.0897275732,0.0053515069,-0.0843760662
tt100k,rtdetr-l,fp8,fog,1,0.4317157331,0.4212986195,0.4300669529,0.4297423078,0.0104171136,0.0003246452,-0.0100924684
tt100k,rtdetr-l,int8-entropy,fog,1,0.4317157331,0.0546437897,0.4300669529,0.0503733169,0.3770719434,0.3796936361,0.0026216927
tt100k,rtdetr-l,fp8,fog,3,0.4317157331,0.4212986195,0.4335497121,0.4175963580,0.0104171136,0.0159533541,0.0055362405
tt100k,rtdetr-l,int8-entropy,fog,3,0.4317157331,0.0546437897,0.4335497121,0.0468426205,0.3770719434,0.3867070916,0.0096351482
tt100k,rtdetr-l,fp8,fog,5,0.4317157331,0.4212986195,0.4305316775,0.4117365240,0.0104171136,0.0187951535,0.0083780399
tt100k,rtdetr-l,int8-entropy,fog,5,0.4317157331,0.0546437897,0.4305316775,0.0412890209,0.3770719434,0.3892426566,0.0121707132
tt100k,rtdetr-l,fp8,gaussian_noise,1,0.4317157331,0.4212986195,0.4286874934,0.4223331040,0.0104171136,0.0063543894,-0.0040627242
tt100k,rtdetr-l,int8-entropy,gaussian_noise,1,0.4317157331,0.0546437897,0.4286874934,0.0406068459,0.3770719434,0.3880806475,0.0110087041
tt100k,rtdetr-l,fp8,gaussian_noise,3,0.4317157331,0.4212986195,0.3946340313,0.3641503779,0.0104171136,0.0304836534,0.0200665398
tt100k,rtdetr-l,int8-entropy,gaussian_noise,3,0.4317157331,0.0546437897,0.3946340313,0.0205134164,0.3770719434,0.3741206149,-0.0029513285
tt100k,rtdetr-l,fp8,gaussian_noise,5,0.4317157331,0.4212986195,0.2616715337,0.2473320900,0.0104171136,0.0143394437,0.0039223301
tt100k,rtdetr-l,int8-entropy,gaussian_noise,5,0.4317157331,0.0546437897,0.2616715337,0.0148322452,0.3770719434,0.2468392885,-0.1302326549
tt100k,rtdetr-l,fp8,jpeg,1,0.4317157331,0.4212986195,0.4307630949,0.4224001684,0.0104171136,0.0083629264,-0.0020541872
tt100k,rtdetr-l,int8-entropy,jpeg,1,0.4317157331,0.0546437897,0.4307630949,0.0501108271,0.3770719434,0.3806522678,0.0035803244
tt100k,rtdetr-l,fp8,jpeg,3,0.4317157331,0.4212986195,0.4246066823,0.4248115129,0.0104171136,-0.0002048306,-0.0106219442
tt100k,rtdetr-l,int8-entropy,jpeg,3,0.4317157331,0.0546437897,0.4246066823,0.0479664016,0.3770719434,0.3766402808,-0.0004316626
tt100k,rtdetr-l,fp8,jpeg,5,0.4317157331,0.4212986195,0.4083599032,0.3946191934,0.0104171136,0.0137407098,0.0033235962
tt100k,rtdetr-l,int8-entropy,jpeg,5,0.4317157331,0.0546437897,0.4083599032,0.0344300673,0.3770719434,0.3739298359,-0.0031421075
tt100k,rtdetr-l,fp8,motion_blur,1,0.4317157331,0.4212986195,0.4006749256,0.3917678760,0.0104171136,0.0089070496,-0.0015100640
tt100k,rtdetr-l,int8-entropy,motion_blur,1,0.4317157331,0.0546437897,0.4006749256,0.0292261453,0.3770719434,0.3714487804,-0.0056231630
tt100k,rtdetr-l,fp8,motion_blur,3,0.4317157331,0.4212986195,0.1793925779,0.1747804718,0.0104171136,0.0046121061,-0.0058050075
tt100k,rtdetr-l,int8-entropy,motion_blur,3,0.4317157331,0.0546437897,0.1793925779,0.0046968526,0.3770719434,0.1746957253,-0.2023762180
tt100k,rtdetr-l,fp8,motion_blur,5,0.4317157331,0.4212986195,0.0684618512,0.0637702398,0.0104171136,0.0046916114,-0.0057255022
