dataset,model,precision,ap,input_manifest_sha256,input_image_ids_sha256
kitti,retinanet-r50-fpn-v2,fp32,0.5042670858125561,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
kitti,retinanet-r50-fpn-v2,fp8,0.492728367702152,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
kitti,retinanet-r50-fpn-v2,int8-entropy,0.07128518519805235,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
kitti,rtdetr-l,fp32,0.1229465218805351,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
kitti,rtdetr-l,fp8,0.12020509500513761,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
kitti,rtdetr-l,int8-entropy,0.0332189487222702,226b7b2a7be03fb0245561233194d84da6d670fba0e3dbc9268df8ef02f79489,47f0544b03783b4bfd87d124fd82d0c7d4bfd5f2c518093da7f507420f6e9474
tt100k,retinanet-r50-fpn-v2,fp32,0.033677536371042156,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
tt100k,retinanet-r50-fpn-v2,fp8,0.03379830699301496,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
tt100k,retinanet-r50-fpn-v2,int8-entropy,0.026000121070884796,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
tt100k,rtdetr-l,fp32,0.4317157330756344,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
tt100k,rtdetr-l,fp8,0.42129861946709335,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
tt100k,rtdetr-l,int8-entropy,0.0546437896956708,2e52424e0cddfc0e5675459528b477baf5bcb356b69de0ff12a18de41407804f,e074fcfcba3bfb0a9ae6c254c493b2a80f40fe81901a8ba94609d9de5d132099
voc,retinanet-r50-fpn-v2,fp32,0.5721848527442945,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
voc,retinanet-r50-fpn-v2,fp8,0.5616740731488328,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
voc,retinanet-r50-fpn-v2,int8-entropy,0.33689783637574133,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
voc,rtdetr-l,fp32,0.7044048040532002,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
voc,rtdetr-l,fp8,0.7014384815612016,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
voc,rtdetr-l,int8-entropy,0.011397618410504967,3b10c52e634e10647aced45ecd9d9aad9c58fbee90dd34eae1cce5aed63b6980,f95fa720f5342f1f10830950826bc77b25133870045675f4c927f8f55baf06c7
