dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high,clean_gap_ap,adjusted_interaction_ap,raw_corrupt_gap_ap,min_corrupt_ap
coco,yolo11m,fog,1,area,5000,0.0123198195,0.0000699110,-0.0025521114,0.0002173740,0.0029500609,0.0020081526,0.0081272228,-0.0061190702,-0.0175756064,-0.0047678219,0.0075292533,1.2319819480,0.0069910991,1.2389730470,48.3393782431
coco,yolo11m,fog,3,area,5000,0.0123198195,0.0013430452,-0.0019608001,0.0013348290,0.0044181837,-0.0025339566,0.0060368977,-0.0085708543,-0.0183300618,-0.0060315246,0.0059097126,1.2319819480,0.1343045205,1.3662864685,47.9219776327
coco,yolo11m,fog,5,area,5000,0.0123198195,0.0037443946,0.0005262352,0.0037301982,0.0066368966,-0.0006717139,0.0048812697,-0.0055529835,-0.0179276832,-0.0047171861,0.0073295676,1.2319819480,0.3744394635,1.6064214115,47.2679196271
coco,yolo11m,gaussian_noise,1,area,5000,0.0123198195,-0.0038926457,-0.0074834014,-0.0035491242,-0.0005225028,0.0002122799,-0.0044848124,0.0046970924,-0.0075677753,0.0051228808,0.0174550977,1.2319819480,-0.3892645714,0.8427173766,46.8197753539
coco,yolo11m,gaussian_noise,3,area,5000,0.0123198195,-0.0038834378,-0.0074800641,-0.0037204512,-0.0002672799,-0.0075428678,-0.0038083917,-0.0037344760,-0.0198964611,-0.0049773496,0.0113489022,1.2319819480,-0.3883437758,0.8436381721,41.3103211189
coco,yolo11m,gaussian_noise,5,area,5000,0.0123198195,-0.0111617775,-0.0149187791,-0.0108379559,-0.0071480528,-0.0058257975,-0.0324828888,0.0266570913,0.0120450443,0.0251599820,0.0385115427,1.2319819480,-1.1161777483,0.1158041997,29.7534416544
coco,yolo11m,jpeg,1,area,5000,0.0123198195,0.0064863281,0.0033453353,0.0067913641,0.0103308179,0.0059182435,0.0107465467,-0.0048283031,-0.0214044589,-0.0079382619,0.0053464646,1.2319819480,0.6486328075,1.8806147555,46.0523306692
coco,yolo11m,jpeg,3,area,5000,0.0123198195,0.0201119297,0.0159323191,0.0203687771,0.0245426969,0.0124281268,0.0286553430,-0.0162272162,-0.0343753119,-0.0189671616,-0.0027429865,1.2319819480,2.0111929652,3.2431749132,38.9506336231
coco,yolo11m,jpeg,5,area,5000,0.0123198195,0.0057205438,0.0014601084,0.0055512492,0.0096373288,-0.0055025813,-0.0072728933,0.0017703120,-0.0136175669,0.0003760128,0.0145432625,1.2319819480,0.5720543807,1.8040363287,17.1087833593
coco,yolo11m,motion_blur,1,area,5000,0.0123198195,0.0049991942,0.0011553119,0.0049779606,0.0086329002,0.0086439157,0.0074218082,0.0012221075,-0.0131901243,0.0009854467,0.0159155899,1.2319819480,0.4999194165,1.7319013645,42.1897270394
