dataset,model,precision,corruption,severity,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11m,int8-entropy,fog,1,0.48821302844845793,0.48339378243058934,0.004819246017868595,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,993d998fd21194876fed16fefcf734eec613aaf785a255a0960a916baddac89e
coco,yolo11m,fp8,fog,1,0.5005328479281086,0.4957835129010085,0.004749335027100066,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,3378328fd30f96bfd094d54a0d1db2f90293f1c8656d5abcc879bb785478bbd2
coco,yolo11m,int8-entropy,fog,3,0.48821302844845793,0.4792197763272324,0.008993252121225537,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,8cf119a72a058307478250f8a44bf82ba4e185691c596d1a516fb5531fb71fa4
coco,yolo11m,fp8,fog,3,0.5005328479281086,0.4928826410119521,0.007650206916156477,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,519a6ab67515324a4e86567d20c6b54502fc6dcf8cadac9faad04460078edcee
coco,yolo11m,int8-entropy,fog,5,0.48821302844845793,0.4726791962714292,0.01553383217702875,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6e4fff1e04164b636b0c8ecf58d4cb41c663634a096a3643f9e9cd14c32fa2a1
coco,yolo11m,fp8,fog,5,0.5005328479281086,0.4887434103862835,0.011789437541825099,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,2d1ef9c45e78aa1475f388b08cb054ec3cf5704e7ba2207c06f38b74ea63b26c
coco,yolo11m,int8-entropy,gaussian_noise,1,0.48821302844845793,0.46819775353941534,0.02001527490904259,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,cc40298875c6daba5b8f5fbcbd9ffb7380ffa4e6c4a85dc7cae1f2f5bf7c6f29
coco,yolo11m,fp8,gaussian_noise,1,0.5005328479281086,0.47662492730531913,0.023907920622789458,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,0ebfbc35ce3bfc9361ba4f358e53d1343865c3ba0b387bbbd24af7dc9c51ed5f
coco,yolo11m,int8-entropy,gaussian_noise,3,0.48821302844845793,0.41310321118942667,0.07510981725903126,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,df81607d77d3f7526993a74bd64c93afeff6ee9b3d50397a4e6ad84d428e651f
coco,yolo11m,fp8,gaussian_noise,3,0.5005328479281086,0.4215395929107397,0.07899325501736887,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,79d6842d35d09780e165902e0fa1a8abb2d94d29d4b00c56e882ebaf552a19a7
