dataset,model,precision,engine_bytes,latency_mean_ms,latency_median_ms,latency_p99_ms,throughput_qps
coco,yolo11n,fp32,11727700,0.543465,0.542969,0.549805,1835.79
coco,yolo11n,int8-entropy,7376012,0.365735,0.365234,0.367676,2725.32
coco,yolo11n,fp8,5041084,0.306305,0.305664,0.324219,3251.32
coco,yolo11m,fp32,83960612,2.44628,2.44531,2.45312,408.577
coco,yolo11m,int8-entropy,25267292,0.791906,0.791504,0.793945,1260.89
coco,yolo11m,fp8,23007948,0.73399,0.734375,0.736328,1359.94
coco,yolo11x,fp32,236286052,5.33691,5.33594,5.34863,187.362
coco,yolo11x,int8-entropy,64337116,1.75299,1.75293,1.75781,570.027
coco,yolo11x,fp8,60899900,1.61406,1.61328,1.61914,619.055
voc,yolo11n,fp32,11556500,0.549852,0.549805,0.552734,1814.59
voc,yolo11n,int8-entropy,7011444,0.353417,0.353516,0.355469,2819.76
voc,yolo11n,fp8,4987812,0.306035,0.304688,0.327637,3253.0
voc,yolo11m,fp32,83822636,2.42278,2.42236,2.42969,412.535
voc,yolo11m,int8-entropy,25187668,0.786286,0.786133,0.789062,1269.8
voc,yolo11m,fp8,22935500,0.725046,0.724609,0.726562,1377.09
voc,yolo11x,fp32,233951636,5.36654,5.36719,5.37695,186.327
voc,yolo11x,int8-entropy,64232492,1.70941,1.70898,1.71582,584.57
voc,yolo11x,fp8,60794220,1.60961,1.60938,1.61377,620.771
kitti,yolo11n,fp32,11567076,0.551053,0.550781,0.554688,1810.02
kitti,yolo11n,int8-entropy,7046492,0.358332,0.358398,0.359375,2780.88
kitti,yolo11n,fp8,4950204,0.303746,0.303711,0.306641,3278.04
kitti,yolo11m,fp32,83746612,2.42237,2.42188,2.42969,412.598
kitti,yolo11m,int8-entropy,25218580,0.785238,0.785156,0.787109,1271.24
kitti,yolo11m,fp8,22952116,0.719726,0.719727,0.722656,1386.87
kitti,yolo11x,fp32,235941564,5.32193,5.32227,5.33398,187.89
kitti,yolo11x,int8-entropy,63902012,1.72964,1.73047,1.73242,577.731
kitti,yolo11x,fp8,60845220,1.60104,1.60156,1.60547,624.097
tt100k,yolo11n,fp32,18923620,1.4059,1.40625,1.41064,710.537
tt100k,yolo11n,int8-entropy,15298724,0.722724,0.722656,0.726562,1381.04
tt100k,yolo11n,fp8,8384964,0.785005,0.785156,0.788086,1271.54
tt100k,yolo11m,fp32,83568716,5.5324,5.53711,5.55859,180.713
tt100k,yolo11m,int8-entropy,30247668,1.96988,1.96973,1.97461,507.142
tt100k,yolo11m,fp8,25866836,1.93568,1.93555,1.94629,516.246
tt100k,yolo11x,fp32,234485596,12.9661,12.9648,13.0127,77.1222
tt100k,yolo11x,int8-entropy,68776196,4.51637,4.51562,4.52344,221.324
tt100k,yolo11x,fp8,63861900,4.39391,4.39258,4.40234,227.513
