dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high
coco,yolo11m,fog,1,area,5000,0.012319819479650662,6.991099076852914e-05,-0.0025521113795600086,0.0002173740191776241,0.00295006091270114,0.0020081526302930808,0.008127222790317301,-0.00611907016002422,-0.01757560639307028,-0.004767821889679086,0.007529253293146936
coco,yolo11m,fog,3,area,5000,0.012319819479650662,0.00134304520506906,-0.001960800121428119,0.0013348289938477087,0.004418183748917132,-0.002533956617016553,0.006036897700606669,-0.008570854317623222,-0.01833006178919456,-0.006031524592380766,0.005909712550018091
coco,yolo11m,fog,5,area,5000,0.012319819479650662,0.0037443946352036517,0.0005262352221856407,0.00373019818367043,0.006636896596832727,-0.0006717138620307983,0.00488126967700786,-0.005552983539038658,-0.017927683220963365,-0.004717186097257214,0.007329567625735013
coco,yolo11m,gaussian_noise,1,area,5000,0.012319819479650662,-0.0038926457137468673,-0.0074834014131989115,-0.00354912420012396,-0.0005225028401486591,0.00021227992280187236,-0.00448481244996668,0.004697092372768552,-0.00756777529837537,0.0051228807924928454,0.01745509774563936
coco,yolo11m,gaussian_noise,3,area,5000,0.012319819479650662,-0.0038834377583376045,-0.007480064105875687,-0.0037204512326443617,-0.00026727987374586016,-0.007542867756637511,-0.003808391731021432,-0.003734476025616079,-0.019896461060206556,-0.004977349607907272,0.011348902179491508
coco,yolo11m,gaussian_noise,5,area,5000,0.012319819479650662,-0.011161777482583013,-0.014918779101830938,-0.01083795592507425,-0.0071480528256940784,-0.005825797506267216,-0.0324828887746379,0.02665709126837068,0.012045044331625194,0.025159982036885242,0.03851154273229665
coco,yolo11m,jpeg,1,area,5000,0.012319819479650662,0.006486328075308023,0.0033453353328628185,0.0067913641313409046,0.010330817871257392,0.005918243542906043,0.010746546687756209,-0.004828303144850166,-0.021404458866116707,-0.007938261857349527,0.0053464645562326125
coco,yolo11m,jpeg,3,area,5000,0.012319819479650662,0.020111929652084193,0.015932319110787962,0.02036877714946969,0.02454269691627542,0.012428126829575364,0.028655343006735667,-0.016227216177160303,-0.034375311855933725,-0.018967161561075682,-0.002742986461443816
coco,yolo11m,jpeg,5,area,5000,0.012319819479650662,0.005720543807288814,0.001460108446490499,0.0055512492471635755,0.009637328796152856,-0.005502581315793925,-0.007272893346533693,0.001770312030739768,-0.01361756690681452,0.00037601280548119065,0.014543262507612514
coco,yolo11m,motion_blur,1,area,5000,0.012319819479650662,0.004999194165042187,0.001155311943445461,0.0049779605833898954,0.008632900177718698,0.008643915703352295,0.007421808226455218,0.0012221074768970774,-0.013190124325555472,0.000985446667964615,0.015915589927781765
coco,yolo11m,motion_blur,3,area,5000,0.012319819479650662,0.01270477780053586,0.008591370202916334,0.013107896319927564,0.017497880814413485,-0.004936214955657103,0.034155364456152415,-0.03909157941180952,-0.058720525221184365,-0.040595788990891335,-0.02348662510099785
coco,yolo11m,motion_blur,5,area,5000,0.012319819479650662,0.0035975883602245573,-0.0005703172766425179,0.003826411480492925,0.007887005622636455,-0.010574411581085574,0.01712422940295305,-0.027698640984038625,-0.04471812664572806,-0.028531564136744042,-0.011482667094445433
coco,yolo11n,fog,1,area,5000,0.011564301116287645,-0.00031100193526018005,-0.0038082180615671103,-0.0003900177922716297,0.0023626259251377842,0.0033284867925928996,-0.0035166232938371733,0.006845110086430073,-0.007275963069629866,0.006075527007166154,0.019048931388501757
