factor,level,cells,mean_delta_e,min_delta_e,max_delta_e,interval_positive,interval_negative,interval_crossing
Checkpoint rung,yolo11n,48,0.0006665680745853846,-0.027072076630890285,0.03102731834504363,11,7,30
Checkpoint rung,yolo11m,48,-0.0010946304185410944,-0.042810739985394974,0.028174947919689886,9,10,29
Checkpoint rung,yolo11x,48,-0.00019926586269295699,-0.04229230936884615,0.020882826326473092,5,9,34
Corruption,gaussian_noise,36,-0.00030228582442260593,-0.036580780610302455,0.028174947919689886,9,11,16
Corruption,motion_blur,36,-0.002390568860885895,-0.042810739985394974,0.014765167333730733,4,8,24
Corruption,fog,36,0.0038864744851464287,-0.005604186658212829,0.03102731834504363,6,0,30
Corruption,jpeg,36,-0.0020300574087028164,-0.04229230936884615,0.020111929652084193,6,7,23
Severity,1,48,0.0028228039755389344,-0.010265252573991912,0.028174947919689886,8,2,38
Severity,3,48,0.001649932216423973,-0.03365686048511107,0.020882826326473092,10,8,30
Severity,5,48,-0.005100064398611574,-0.042810739985394974,0.03102731834504363,7,16,25
