dataset,model,precision,corruption,severity,endpoint_type,endpoint,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11m,int8-entropy,fog,1,coco-area,small,0.31157072499655547,0.30693985998421897,0.004630865012336505,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,993d998fd21194876fed16fefcf734eec613aaf785a255a0960a916baddac89e
coco,yolo11m,int8-entropy,fog,1,coco-area,large,0.6302079858991781,0.6156017619621617,0.014606223937016494,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,993d998fd21194876fed16fefcf734eec613aaf785a255a0960a916baddac89e
coco,yolo11m,fp8,fog,1,coco-area,small,0.32326449878055546,0.32064178639851204,0.002622712382043424,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,3378328fd30f96bfd094d54a0d1db2f90293f1c8656d5abcc879bb785478bbd2
coco,yolo11m,fp8,fog,1,coco-area,large,0.6598306786538152,0.653351677507116,0.006479001146699193,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,3378328fd30f96bfd094d54a0d1db2f90293f1c8656d5abcc879bb785478bbd2
coco,yolo11m,int8-entropy,fog,3,coco-area,small,0.31157072499655547,0.3106596475486855,0.0009110774478699457,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,8cf119a72a058307478250f8a44bf82ba4e185691c596d1a516fb5531fb71fa4
coco,yolo11m,int8-entropy,fog,3,coco-area,large,0.6302079858991781,0.61556672592947,0.01464125996970811,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,8cf119a72a058307478250f8a44bf82ba4e185691c596d1a516fb5531fb71fa4
coco,yolo11m,fp8,fog,3,coco-area,small,0.32326449878055546,0.31981946471566897,0.0034450340648864985,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,519a6ab67515324a4e86567d20c6b54502fc6dcf8cadac9faad04460078edcee
coco,yolo11m,fp8,fog,3,coco-area,large,0.6598306786538152,0.6512263163847137,0.00860436226910144,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,519a6ab67515324a4e86567d20c6b54502fc6dcf8cadac9faad04460078edcee
coco,yolo11m,int8-entropy,fog,5,coco-area,small,0.31157072499655547,0.30045198464003603,0.011118740356519441,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6e4fff1e04164b636b0c8ecf58d4cb41c663634a096a3643f9e9cd14c32fa2a1
coco,yolo11m,int8-entropy,fog,5,coco-area,large,0.6302079858991781,0.613338521747794,0.016869464151384128,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6e4fff1e04164b636b0c8ecf58d4cb41c663634a096a3643f9e9cd14c32fa2a1
coco,yolo11m,fp8,fog,5,coco-area,small,0.32326449878055546,0.3114740445620052,0.01179045421855024,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,2d1ef9c45e78aa1475f388b08cb054ec3cf5704e7ba2207c06f38b74ea63b26c
coco,yolo11m,fp8,fog,5,coco-area,large,0.6598306786538152,0.6478424841794389,0.011988194474376268,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,2d1ef9c45e78aa1475f388b08cb054ec3cf5704e7ba2207c06f38b74ea63b26c
coco,yolo11m,int8-entropy,gaussian_noise,1,coco-area,small,0.31157072499655547,0.28592846575785225,0.025642259238703224,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,cc40298875c6daba5b8f5fbcbd9ffb7380ffa4e6c4a85dc7cae1f2f5bf7c6f29
coco,yolo11m,int8-entropy,gaussian_noise,1,coco-area,large,0.6302079858991781,0.6131670024720368,0.017040983427141332,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,cc40298875c6daba5b8f5fbcbd9ffb7380ffa4e6c4a85dc7cae1f2f5bf7c6f29
coco,yolo11m,fp8,gaussian_noise,1,coco-area,small,0.32326449878055546,0.2978345194646541,0.025429979315901352,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,0ebfbc35ce3bfc9361ba4f358e53d1343865c3ba0b387bbbd24af7dc9c51ed5f
coco,yolo11m,fp8,gaussian_noise,1,coco-area,large,0.6598306786538152,0.6383048827767072,0.02152579587710801,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,0ebfbc35ce3bfc9361ba4f358e53d1343865c3ba0b387bbbd24af7dc9c51ed5f
coco,yolo11m,int8-entropy,gaussian_noise,3,coco-area,small,0.31157072499655547,0.23814972719223948,0.07342099780431599,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,df81607d77d3f7526993a74bd64c93afeff6ee9b3d50397a4e6ad84d428e651f
coco,yolo11m,int8-entropy,gaussian_noise,3,coco-area,large,0.6302079858991781,0.5520055322401419,0.07820245365903622,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,df81607d77d3f7526993a74bd64c93afeff6ee9b3d50397a4e6ad84d428e651f
coco,yolo11m,fp8,gaussian_noise,3,coco-area,small,0.32326449878055546,0.24230063321960196,0.0809638655609535,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,79d6842d35d09780e165902e0fa1a8abb2d94d29d4b00c56e882ebaf552a19a7
coco,yolo11m,fp8,gaussian_noise,3,coco-area,large,0.6598306786538152,0.5778198332637575,0.08201084539005765,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,79d6842d35d09780e165902e0fa1a8abb2d94d29d4b00c56e882ebaf552a19a7
coco,yolo11m,int8-entropy,gaussian_noise,5,coco-area,small,0.31157072499655547,0.12495597837575088,0.18661474662080457,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,e1f5353fc67cc6747346e4788adced461cd579fe52857272aa2acece9b92d3bd
coco,yolo11m,int8-entropy,gaussian_noise,5,coco-area,large,0.6302079858991781,0.43138455132055187,0.19882343457862628,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,e1f5353fc67cc6747346e4788adced461cd579fe52857272aa2acece9b92d3bd
coco,yolo11m,fp8,gaussian_noise,5,coco-area,small,0.32326449878055546,0.13082395465348368,0.1924405441270718,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,ad84fd492ce8c1b99f5611d4f6bf6cd4e8be765cf48965934c774bd4eb0c1760
coco,yolo11m,fp8,gaussian_noise,5,coco-area,large,0.6598306786538152,0.428524355300551,0.23130632335326418,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,ad84fd492ce8c1b99f5611d4f6bf6cd4e8be765cf48965934c774bd4eb0c1760
coco,yolo11m,int8-entropy,jpeg,1,coco-area,small,0.31157072499655547,0.2786654616264581,0.03290526337009736,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,491e414dfc3b67f65e3bcf4940c4e7b69e9a09e5d9a28f410e68dafd576fe26b
coco,yolo11m,int8-entropy,jpeg,1,coco-area,large,0.6302079858991781,0.6102074589022257,0.020000526996952428,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,491e414dfc3b67f65e3bcf4940c4e7b69e9a09e5d9a28f410e68dafd576fe26b
coco,yolo11m,fp8,jpeg,1,coco-area,small,0.32326449878055546,0.29627747895336415,0.026987019827191316,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,67b2a74473ce6600e98f91253897421960097992f4ae65e8306939f216c64ca1
coco,yolo11m,fp8,jpeg,1,coco-area,large,0.6598306786538152,0.650576698344619,0.00925398030919622,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,67b2a74473ce6600e98f91253897421960097992f4ae65e8306939f216c64ca1
coco,yolo11m,int8-entropy,jpeg,3,coco-area,small,0.31157072499655547,0.2112530326768512,0.10031769231970428,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,7b128893611260fa2571c02c169a0ca9edcd74c0f21850c4c3b6b8039c6b50eb
coco,yolo11m,int8-entropy,jpeg,3,coco-area,large,0.6302079858991781,0.5232942083314106,0.10691377756776754,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,7b128893611260fa2571c02c169a0ca9edcd74c0f21850c4c3b6b8039c6b50eb
coco,yolo11m,fp8,jpeg,3,coco-area,small,0.32326449878055546,0.23537493329042655,0.08788956549012891,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,d5e0a8fc95003a23f5f649a1894e1e038bdb3007d6af7d73fc946081ae92a777
coco,yolo11m,fp8,jpeg,3,coco-area,large,0.6598306786538152,0.5815722440927833,0.07825843456103188,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,d5e0a8fc95003a23f5f649a1894e1e038bdb3007d6af7d73fc946081ae92a777
coco,yolo11m,int8-entropy,jpeg,5,coco-area,small,0.31157072499655547,0.08101002986320646,0.230560695133349,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,83ce37ad00d76c8cf722df56e921ee256ed1c3b292d9d2e43e9289894bc7505e
