factor,level,n,mean_delta_e_ap_points,min_delta_e_ap_points,max_delta_e_ap_points
overall,all,108,-1.109406421273949,-6.501596895287365,3.475906095801351
training_seed,20260807,36,-1.6351793413926328,-6.501596895287365,1.589452101035127
training_seed,20260813,36,-1.0140773574253257,-5.559681769607028,2.8134271318847492
training_seed,20260814,36,-0.6789625650038889,-3.445868215955439,3.475906095801351
calibration_seed,20260807,36,-1.1703615232600506,-4.7915704298060575,1.589452101035127
calibration_seed,20260813,36,-1.3203279755111956,-6.035954881628724,1.9966876340949624
calibration_seed,20260814,36,-0.8375297650506014,-6.501596895287365,3.475906095801351
dataset,voc,36,-1.1908780924955016,-4.7915704298060575,0.927302488681564
dataset,kitti,36,-1.5384464886600917,-6.501596895287365,3.475906095801351
dataset,tt100k,36,-0.5988946826662542,-3.259804884959694,2.459795571046419
corruption,gaussian_noise,27,-2.135457627923811,-4.7915704298060575,0.927302488681564
corruption,motion_blur,27,-2.200975741559789,-6.501596895287365,0.1458440307747888
corruption,fog,27,0.7986215607309822,-1.111602068631512,3.475906095801351
corruption,jpeg,27,-0.8998138763431789,-3.3864349763003956,1.8939931440424107
